,city name,country,city id,latitude_deg,longitude_deg,temp_max_F,humidity_%,cloudiness_%,winds speed_mph
377,Tagbina,PH,1684491,8.45,126.17,73.26,97,61,2.21
378,Vestmannaeyjar,IS,3412093,63.44,-20.27,46.4,81,90,17.22
379,San Jose,US,5392171,37.34,-121.89,73.99,59,20,3.36
380,Arman,RU,2127060,59.7,150.17,11.55,87,89,15.14
381,Valparaiso,CL,3868626,-33.04,-71.63,61.0,67,75,8.05
382,Santa Engracia,ES,3108269,41.94,-1.32,52.0,93,90,3.36
383,Manta,EC,3654410,-0.95,-80.73,82.4,61,20,14.99
384,Gemena,CD,2315728,3.25,19.77,72.1,96,100,2.53
385,Svetlogorsk,BY,10722858,52.63,29.73,43.72,88,42,8.05
386,Abu Samrah,SY,172515,35.3,37.18,61.38,75,100,12.06
387,Skibbereen,IE,2961459,51.55,-9.27,44.6,75,75,5.82
388,Vittorio Veneto,IT,3164028,45.98,12.3,62.01,82,40,4.7
389,Farmington,US,5467328,36.73,-108.22,66.99,27,1,10.29
390,Torrington,US,4844309,41.8,-73.12,61.0,56,0,1.99
391,Nhulunbuy,AU,2064735,-12.23,136.77,75.2,83,2,4.7
392,Glyadyanskoye,RU,1506499,54.91,65.09,33.1,93,0,8.84
393,Enid,US,4535961,36.4,-97.88,72.0,37,1,21.92
394,Richards Bay,ZA,962367,-28.78,32.04,73.4,86,100,4.56
395,Usinsk,RU,863061,65.99,57.53,36.23,95,99,9.26
396,Luganville,VU,2136150,-15.53,167.17,75.2,94,75,3.18
397,Nicolas Bravo,MX,3522742,18.45,-88.92,75.2,100,90,4.7
398,Paamiut,GL,3421193,61.99,-49.67,31.15,90,100,10.18
399,Tabanan,ID,1625708,-8.54,115.13,76.32,89,59,3.87
400,Alanya,TR,324190,36.54,32.0,53.6,81,0,4.7
401,Ojinaga,MX,3994469,29.57,-104.42,80.6,18,1,3.36
402,Honningsvag,NO,779554,70.98,25.97,39.2,80,40,20.8
403,Saint Marys,US,4220629,30.73,-81.55,75.2,50,40,13.87
404,Stornoway,GB,2636790,58.21,-6.39,51.01,93,75,12.75
405,Boa Vista,BR,3664980,2.82,-60.67,84.2,74,75,8.05
406,Olga,RU,2018553,43.74,135.29,28.09,80,90,3.56
407,Tual,ID,1623197,-5.67,132.75,82.54,78,99,14.34
408,Soledade,BR,3447423,-28.82,-52.51,73.4,33,0,23.04
409,Nouadhibou,MR,2377457,20.93,-17.03,68.0,82,0,14.99
410,Pano Aqil,PK,1168412,27.86,69.11,66.2,72,0,3.11
411,Mitchell,US,5229794,43.71,-98.03,75.2,27,1,4.7
412,Plettenberg Bay,ZA,964712,-34.05,23.37,64.92,85,96,8.32
413,Marathon,US,5261790,44.9,-89.77,73.4,30,1,9.17
414,Vila Franca Do Campo,PT,3372472,37.72,-25.43,59.0,72,40,12.75
415,Cam Ranh,VN,1586350,11.92,109.16,77.0,94,40,3.36
416,Tomatlan,MX,3981391,19.93,-105.25,91.13,39,15,6.26
417,Shitanjing,CN,1794971,39.23,106.34,39.92,56,95,3.06
418,Fenoarivo,MG,1070940,-18.93,47.44,62.6,77,75,2.24
419,Neyshabur,IR,122285,36.21,58.8,52.07,34,0,2.44
420,Carutapera,BR,3402648,-1.2,-46.02,83.64,71,73,10.33
421,Tocopilla,CL,3869716,-22.09,-70.2,67.21,50,21,9.93
422,Port Hedland,AU,2063042,-20.32,118.57,75.2,73,1,10.29
423,Leh,IN,1264976,34.17,77.58,27.81,69,11,4.23
424,Novaya Chigla,RU,519777,51.22,40.48,45.95,90,13,4.54
425,Kousseri,CM,2229798,12.08,15.03,86.0,23,0,9.17
426,Marsh Harbour,BS,3571913,26.54,-77.06,77.41,71,58,26.4
427,Strezhevoy,RU,1490796,60.73,77.59,35.6,97,90,13.42
428,Yasnyy,RU,468657,51.03,59.87,41.72,66,45,10.87
429,Ola,RU,2122574,59.58,151.28,14.92,88,91,15.88
430,Lindi,TZ,878281,-10.0,39.72,75.2,78,20,4.59
431,Santa Fe,AR,3836277,-31.63,-60.7,84.0,24,91,8.01
432,Half Moon Bay,US,5354943,37.46,-122.43,70.0,77,1,11.41
433,Veracruz,MX,3514780,19.33,-96.67,84.2,42,5,14.99
434,Foki,RU,562580,56.69,54.35,31.17,98,5,1.97
435,Grand Gaube,MU,934479,-20.01,57.66,72.0,72,45,5.01
436,Aviles,ES,3129135,43.55,-5.92,52.0,81,75,16.11
437,Bani Walid,LY,2218840,31.76,13.99,67.01,44,41,6.46
438,Lujiang,CN,1802068,31.26,117.28,55.99,62,0,4.47
